trip_id,invoice_available,eway_bill_available,pod_available,lr_copy_available,document_status
TRP00177,1,1,1,1,Complete
TRP00178,1,1,1,0,Incomplete
TRP00179,1,1,1,1,Complete
TRP00180,1,1,0,1,Incomplete
TRP00181,1,1,1,1,Complete
TRP00182,1,1,1,1,Complete
TRP00183,1,1,0,0,Incomplete
TRP00184,1,0,1,0,Incomplete
TRP00185,1,0,1,1,Incomplete
TRP00186,1,1,0,1,Incomplete
TRP00187,1,1,1,1,Complete
TRP00188,1,1,1,1,Complete
TRP00189,1,0,0,1,Incomplete
TRP00190,1,1,0,1,Incomplete
TRP00191,1,1,1,1,Complete
TRP00192,1,1,1,1,Complete
TRP00193,1,0,1,1,Incomplete
TRP00194,1,1,1,1,Complete
TRP00195,0,0,0,0,Missing
TRP00196,1,1,1,1,Complete
TRP00197,1,1,1,1,Complete
TRP00198,1,1,1,1,Complete
TRP00199,1,1,1,1,Complete
TRP00200,1,1,1,0,Incomplete
TRP00201,1,1,1,1,Complete
TRP00202,1,0,1,1,Incomplete
TRP00203,1,1,0,1,Incomplete
TRP00204,0,1,1,1,Incomplete
TRP00205,1,1,1,1,Complete
TRP00206,1,1,0,1,Incomplete
TRP00207,1,1,1,1,Complete
TRP00208,1,1,0,1,Incomplete
TRP00209,0,0,0,0,Missing
TRP00210,1,1,1,1,Complete
TRP00211,1,1,1,1,Complete
TRP00212,1,1,0,1,Incomplete
TRP00213,1,1,1,1,Complete
TRP00214,0,1,1,1,Incomplete
TRP00215,1,1,0,1,Incomplete
TRP00216,0,0,0,0,Missing
TRP00217,1,1,1,1,Complete
TRP00218,0,0,0,0,Missing
TRP00219,1,1,1,1,Complete
TRP00220,1,0,1,1,Incomplete
TRP00221,0,0,0,0,Missing
TRP00222,1,1,0,1,Incomplete
TRP00223,0,0,0,0,Missing
TRP00224,1,1,1,1,Complete
TRP00225,1,1,1,1,Complete
TRP00226,1,0,0,1,Incomplete
TRP00227,1,1,0,1,Incomplete
TRP00228,1,1,1,0,Incomplete
TRP00229,1,1,1,1,Complete
TRP00230,1,1,1,1,Complete
TRP00231,1,0,1,1,Incomplete
TRP00232,1,1,0,1,Incomplete
TRP00233,1,1,1,1,Complete
TRP00234,0,0,0,0,Missing
TRP00235,1,1,1,1,Complete
TRP00236,1,1,1,1,Complete
TRP00237,1,1,1,1,Complete
TRP00238,1,1,1,1,Complete
TRP00239,1,1,1,1,Complete
TRP00240,1,1,1,1,Complete
TRP00241,1,1,0,1,Incomplete
TRP00242,1,1,1,1,Complete
TRP00243,1,1,0,1,Incomplete
TRP00244,1,1,1,1,Complete
TRP00245,1,1,1,1,Complete
TRP00246,1,1,0,1,Incomplete
TRP00247,0,0,0,0,Missing
TRP00248,0,0,0,0,Missing
TRP00249,1,1,1,1,Complete
TRP00250,1,1,0,1,Incomplete
TRP00251,0,1,1,1,Incomplete
TRP00252,1,1,1,1,Complete
TRP00253,1,1,1,1,Complete
TRP00254,1,1,0,1,Incomplete
TRP00255,0,0,0,0,Missing
TRP00256,1,1,1,1,Complete
TRP00257,1,1,1,0,Incomplete
TRP00258,1,1,1,1,Complete
TRP00259,1,1,1,1,Complete
TRP00260,1,1,1,1,Complete
TRP00261,1,1,0,1,Incomplete
TRP00262,1,1,1,1,Complete
TRP00263,1,1,0,1,Incomplete
TRP00264,1,1,1,1,Complete
TRP00265,1,0,1,1,Incomplete
TRP00266,1,1,1,1,Complete
TRP00267,1,1,1,1,Complete
TRP00268,1,1,1,1,Complete
TRP00269,1,0,0,1,Incomplete
TRP00270,1,1,1,1,Complete
TRP00271,1,1,1,1,Complete
TRP00272,1,1,1,1,Complete
TRP00273,1,1,1,0,Incomplete
TRP00274,1,1,1,1,Complete
TRP00275,1,1,0,1,Incomplete
TRP00276,1,1,1,1,Complete
TRP00277,1,1,1,1,Complete
TRP00278,1,1,0,1,Incomplete
TRP00279,1,1,1,1,Complete
TRP00280,1,1,1,1,Complete
TRP00281,1,1,1,1,Complete
TRP00282,1,1,0,1,Incomplete
TRP00283,0,0,0,0,Missing
TRP00284,1,0,0,1,Incomplete
TRP00285,1,1,1,1,Complete
TRP00286,1,1,0,1,Incomplete
TRP00287,1,1,0,1,Incomplete
TRP00288,1,1,1,1,Complete
TRP00289,1,1,1,1,Complete
TRP00290,1,1,1,1,Complete
TRP00291,1,0,1,0,Incomplete
TRP00292,1,1,1,1,Complete
TRP00293,1,1,0,1,Incomplete
TRP00294,1,1,1,1,Complete
TRP00295,1,1,0,1,Incomplete
TRP00296,0,0,0,0,Missing
TRP00297,1,1,1,1,Complete
TRP00298,1,1,1,1,Complete
TRP00299,0,1,1,1,Incomplete
TRP00300,0,0,0,0,Missing
TRP00301,1,0,1,1,Incomplete
TRP00302,1,1,1,1,Complete
TRP00303,1,1,1,1,Complete
TRP00304,1,1,1,1,Complete
TRP00305,0,1,1,1,Incomplete
TRP00306,1,1,1,1,Complete
TRP00307,1,1,1,0,Incomplete
TRP00308,1,1,1,0,Incomplete
TRP00309,0,1,1,1,Incomplete
TRP00310,1,1,1,1,Complete
TRP00311,1,1,0,1,Incomplete
TRP00312,1,1,1,1,Complete
TRP00313,1,1,1,1,Complete
TRP00314,1,1,1,1,Complete
TRP00315,1,1,1,1,Complete
TRP00316,1,1,0,1,Incomplete
TRP00317,1,1,1,0,Incomplete
TRP00318,1,1,1,1,Complete
TRP00319,1,1,1,0,Incomplete
TRP00320,1,1,1,1,Complete
TRP00321,1,1,1,1,Complete
TRP00322,1,1,1,1,Complete
TRP00323,1,1,1,1,Complete
TRP00324,1,1,1,1,Complete
TRP00325,1,1,1,1,Complete
TRP00326,1,1,1,1,Complete
TRP00327,1,1,1,1,Complete
TRP00328,1,0,1,1,Incomplete
TRP00329,1,1,1,1,Complete
TRP00330,1,1,1,1,Complete
TRP00331,1,1,1,1,Complete
TRP00332,1,1,1,1,Complete
TRP00333,1,1,1,1,Complete
TRP00334,1,1,1,1,Complete
TRP00335,1,1,1,1,Complete
TRP00336,1,1,1,1,Complete
TRP00337,1,1,0,1,Incomplete
TRP00338,1,1,1,1,Complete
TRP00339,1,1,1,1,Complete
TRP00340,1,1,1,0,Incomplete
TRP00341,0,0,0,0,Missing
TRP00342,1,1,1,1,Complete
TRP00343,1,1,1,1,Complete
TRP00344,1,1,1,1,Complete
TRP00345,1,0,1,1,Incomplete
TRP00346,1,1,1,1,Complete
TRP00347,0,0,0,0,Missing
TRP00348,1,1,1,1,Complete
TRP00349,1,1,1,1,Complete
TRP00350,1,0,1,1,Incomplete
TRP00351,0,1,1,1,Incomplete
TRP00352,1,1,1,1,Complete
TRP00353,1,1,0,1,Incomplete
TRP00354,1,1,0,1,Incomplete
TRP00355,1,1,1,1,Complete
TRP00356,1,1,1,1,Complete
TRP00357,1,0,1,1,Incomplete
TRP00358,1,0,0,1,Incomplete
TRP00359,1,1,0,0,Incomplete
TRP00360,0,0,0,0,Missing
TRP00361,0,0,0,0,Missing
TRP00362,1,1,1,1,Complete
TRP00363,0,0,0,0,Missing
TRP00364,1,1,1,1,Complete
TRP00365,1,0,1,0,Incomplete
TRP00366,1,1,0,1,Incomplete
TRP00367,1,1,1,1,Complete
TRP00368,1,1,1,1,Complete
TRP00369,0,0,1,1,Incomplete
TRP00370,1,0,1,1,Incomplete
TRP00371,1,1,0,0,Incomplete
TRP00372,1,1,1,1,Complete
TRP00373,1,1,1,1,Complete
TRP00374,1,1,1,1,Complete
TRP00375,1,1,1,1,Complete
TRP00376,0,0,0,0,Missing
TRP00377,1,1,1,1,Complete
TRP00378,0,0,0,0,Missing
TRP00379,1,1,1,1,Complete
TRP00380,1,1,1,1,Complete
TRP00381,1,1,1,1,Complete
TRP00382,1,1,0,1,Incomplete
TRP00383,1,1,1,1,Complete
TRP00384,1,1,1,1,Complete
TRP00385,1,1,1,1,Complete
TRP00386,1,1,1,1,Complete
TRP00387,1,1,1,1,Complete
TRP00388,1,1,1,1,Complete
TRP00389,1,1,1,1,Complete
TRP00390,1,1,1,1,Complete
TRP00391,1,1,1,1,Complete
TRP00392,0,0,0,0,Missing
TRP00393,0,0,0,0,Missing
TRP00394,1,1,1,1,Complete
TRP00395,0,1,1,1,Incomplete
TRP00396,1,1,1,1,Complete
TRP00397,0,0,0,0,Missing
TRP00398,0,0,0,0,Missing
TRP00399,1,1,1,1,Complete
TRP00400,1,0,1,1,Incomplete
TRP00401,1,1,1,1,Complete
TRP00402,1,1,1,1,Complete
TRP00403,1,1,1,1,Complete
TRP00404,1,1,0,0,Incomplete
TRP00405,0,0,0,0,Missing
TRP00406,1,1,1,1,Complete
TRP00407,0,1,1,1,Incomplete
TRP00408,1,1,1,1,Complete
TRP00409,1,0,1,1,Incomplete
TRP00410,1,1,0,1,Incomplete
TRP00411,1,1,1,1,Complete
TRP00412,1,1,0,1,Incomplete
TRP00413,1,1,1,0,Incomplete
TRP00414,1,1,1,1,Complete
TRP00415,1,1,1,1,Complete
TRP00416,0,1,1,1,Incomplete
TRP00417,1,1,0,1,Incomplete
TRP00418,1,1,0,0,Incomplete
TRP00419,1,1,1,0,Incomplete
TRP00420,1,0,1,1,Incomplete
TRP00421,1,1,1,0,Incomplete
TRP00422,1,1,1,0,Incomplete
TRP00423,1,1,1,1,Complete
TRP00424,1,1,0,1,Incomplete
TRP00425,1,1,1,1,Complete
TRP00426,1,1,1,1,Complete
TRP00427,1,1,1,1,Complete
TRP00428,1,1,1,1,Complete
TRP00429,1,1,1,1,Complete
TRP00430,1,1,1,1,Complete
TRP00431,1,1,1,1,Complete
TRP00432,1,1,1,1,Complete
TRP00433,1,1,1,1,Complete
TRP00434,1,1,1,1,Complete
TRP00435,1,1,1,1,Complete
TRP00436,1,1,1,1,Complete
TRP00437,1,1,1,1,Complete
TRP00438,1,1,1,1,Complete
TRP00439,1,1,1,1,Complete
TRP00440,1,1,1,1,Complete
TRP00441,1,1,0,1,Incomplete
TRP00442,1,1,1,1,Complete
TRP00443,1,1,1,1,Complete
TRP00444,1,1,1,1,Complete
TRP00445,1,1,1,1,Complete
TRP00446,1,1,1,1,Complete
TRP00447,1,1,0,1,Incomplete
TRP00448,1,1,1,1,Complete
TRP00449,1,1,1,1,Complete
TRP00450,1,1,1,1,Complete
TRP00451,1,0,1,0,Incomplete
TRP00452,1,1,1,1,Complete
TRP00453,1,0,1,1,Incomplete
TRP00454,1,1,0,1,Incomplete
TRP00455,0,0,0,0,Missing
TRP00456,0,0,0,0,Missing
TRP00457,1,1,1,1,Complete
TRP00458,1,0,0,1,Incomplete
TRP00459,1,1,1,1,Complete
TRP00460,1,0,1,1,Incomplete
TRP00461,1,1,1,1,Complete
TRP00462,1,1,0,1,Incomplete
TRP00463,1,1,0,1,Incomplete
TRP00464,0,1,0,1,Incomplete
TRP00465,1,1,1,1,Complete
TRP00466,1,1,1,1,Complete
TRP00467,1,1,0,1,Incomplete
TRP00468,1,1,0,1,Incomplete
TRP00469,1,1,1,1,Complete
TRP00470,1,1,1,0,Incomplete
TRP00471,1,1,1,1,Complete
TRP00472,1,1,0,1,Incomplete
TRP00473,1,1,1,1,Complete
TRP00474,1,1,1,1,Complete
TRP00475,1,1,1,1,Complete
TRP00476,1,1,1,1,Complete
TRP00477,1,1,1,1,Complete
TRP00478,1,1,0,1,Incomplete
TRP00479,0,0,0,0,Missing
TRP00480,1,1,0,1,Incomplete
TRP00481,1,1,1,1,Complete
TRP00482,1,1,1,1,Complete
TRP00483,1,1,1,1,Complete
TRP00484,1,1,0,1,Incomplete
TRP00485,1,1,1,1,Complete
TRP00486,1,0,1,1,Incomplete
TRP00487,1,1,0,0,Incomplete
TRP00488,0,1,1,1,Incomplete
TRP00489,1,1,1,1,Complete
TRP00490,1,1,1,1,Complete
TRP00491,1,1,1,1,Complete
TRP00492,1,1,1,1,Complete
TRP00493,1,1,1,1,Complete
TRP00494,1,1,1,1,Complete
TRP00495,1,1,1,1,Complete
TRP00496,1,1,0,1,Incomplete
TRP00497,1,1,1,1,Complete
TRP00498,1,1,1,1,Complete
TRP00499,0,0,0,0,Missing
TRP00500,1,1,1,1,Complete
