trip_id,dispatch_date,dispatch_month,vehicle_id,driver_id,customer_id,origin,destination,distance_km,trip_status,freight_revenue,total_expense,profit,profit_margin_pct,cost_per_km
TRP00026,2026-03-24,2026-03,VEH004,DRV028,CUS011,Nagpur,Hyderabad,504.8,Delayed,29766.0,22346.6,7419.4,24.93,44.27
TRP00027,2026-05-26,2026-05,VEH009,DRV011,CUS008,Indore,Surat,414.4,Delivered,29679.0,19446.58,10232.42,34.48,46.93
TRP00028,2026-05-01,2026-05,VEH016,DRV021,CUS029,Mumbai,Ahmedabad,537.4,Cancelled,1747.0,529.9,1217.1,69.67,0.99
TRP00029,2025-06-03,2025-06,VEH008,DRV023,CUS011,Indore,Nashik,405.7,Delivered,23407.0,19801.420000000002,3605.58,15.4,48.81
TRP00030,2026-05-20,2026-05,VEH010,DRV017,CUS046,Pune,Indore,595.1,Delivered,45703.0,22254.93,23448.07,51.31,37.4
TRP00031,2026-07-11,2026-07,VEH005,DRV028,CUS005,Indore,Pune,612.6,Delivered,45330.0,29416.36,15913.64,35.11,48.02
TRP00032,2026-01-13,2026-01,VEH019,DRV019,CUS043,Hyderabad,Bengaluru,573.3,Delivered,38860.0,23694.9,15165.1,39.02,41.33
TRP00033,2025-12-29,2025-12,VEH007,DRV023,CUS016,Aurangabad,Indore,477.7,Delivered,23091.0,22074.73,1016.27,4.4,46.21
TRP00034,2026-07-30,2026-07,VEH005,DRV016,CUS003,Hyderabad,Mumbai,722.2,In Transit,57014.0,29893.45,27120.55,47.57,41.39
TRP00035,2026-03-21,2026-03,VEH005,DRV014,CUS042,Mumbai,Delhi,1445.5,Delivered,128055.0,47805.04,80249.96,62.67,33.07
TRP00036,2025-11-28,2025-11,VEH013,DRV011,CUS041,Hyderabad,Bengaluru,554.5,Delivered,30407.0,36730.93,-6323.93,-20.8,66.24
TRP00037,2026-07-27,2026-07,VEH004,DRV015,CUS011,Indore,Nashik,389.5,In Transit,25252.0,20626.98,4625.02,18.32,52.96
TRP00038,2026-08-01,2026-08,VEH014,DRV019,CUS044,Pune,Nashik,205.0,In Transit,14696.0,14676.49,19.51,0.13,71.59
TRP00039,2026-07-30,2026-07,VEH008,DRV015,CUS041,Pune,Nagpur,716.3,In Transit,41563.0,25843.86,15719.14,37.82,36.08
TRP00040,2025-12-13,2025-12,VEH015,DRV012,CUS038,Indore,Nashik,401.6,Delivered,31077.0,20936.49,10140.51,32.63,52.13
TRP00041,2026-03-19,2026-03,VEH013,DRV019,CUS023,Aurangabad,Indore,471.9,Delivered,30868.0,24680.24,6187.76,20.05,52.3
TRP00042,2025-06-27,2025-06,VEH010,DRV025,CUS015,Nagpur,Indore,428.6,Delivered,32869.0,32432.12,436.88,1.33,75.67
TRP00043,2025-08-05,2025-08,VEH019,DRV012,CUS047,Mumbai,Hyderabad,705.5,Delayed,51640.0,25606.66,26033.34,50.41,36.3
TRP00044,2025-12-06,2025-12,VEH017,DRV030,CUS018,Mumbai,Jaipur,1196.6,Delivered,60818.0,39007.42,21810.58,35.86,32.6
TRP00045,2026-02-16,2026-02,VEH003,DRV005,CUS049,Bengaluru,Pune,863.5,Cancelled,887.0,0,887.0,100.0,0.0
TRP00046,2025-05-28,2025-05,VEH012,DRV022,CUS048,Nagpur,Pune,725.1,Cancelled,5025.0,549.29,4475.71,89.07,0.76
TRP00047,2025-12-13,2025-12,VEH011,DRV030,CUS040,Bengaluru,Pune,857.5,Delivered,30752.0,32363.32,-1611.32,-5.24,37.74
TRP00048,2026-02-21,2026-02,VEH010,DRV016,CUS008,Mumbai,Aurangabad,339.4,Delivered,28497.0,16524.88,11972.12,42.01,48.69
TRP00049,2026-02-21,2026-02,VEH014,DRV021,CUS007,Hyderabad,Bengaluru,595.7,Delivered,47832.0,23415.39,24416.61,51.05,39.31
TRP00050,2025-11-16,2025-11,VEH004,DRV022,CUS024,Jaipur,Delhi,286.0,Delivered,21991.0,21075.81,915.19,4.16,73.69
TRP00051,2025-09-05,2025-09,VEH003,DRV022,CUS014,Mumbai,Nashik,164.5,Cancelled,312.0,502.88,-190.88,-61.18,3.06
TRP00052,2025-07-05,2025-07,VEH008,DRV011,CUS050,Delhi,Mumbai,1424.7,Delivered,83730.0,46343.89000000001,37386.11,44.65,32.53
TRP00053,2025-08-04,2025-08,VEH001,DRV005,CUS001,Indore,Nagpur,430.2,Delivered,16494.0,20568.9,-4074.9,-24.71,47.81
TRP00054,2025-03-23,2025-03,VEH003,DRV016,CUS029,Aurangabad,Nagpur,489.4,Delivered,30333.0,28557.68,1775.32,5.85,58.35
TRP00055,2026-07-24,2026-07,VEH002,DRV016,CUS026,Jaipur,Ahmedabad,666.1,In Transit,29316.0,23610.85,5705.15,19.46,35.45
TRP00056,2025-12-05,2025-12,VEH005,DRV009,CUS040,Ahmedabad,Nashik,458.2,Cancelled,3665.0,463.39,3201.61,87.36,1.01
TRP00057,2026-05-17,2026-05,VEH018,DRV024,CUS014,Ahmedabad,Jaipur,652.3,Delivered,35110.0,28525.91,6584.09,18.75,43.73
TRP00058,2025-05-16,2025-05,VEH009,DRV012,CUS010,Indore,Hyderabad,725.6,Delivered,54053.0,26355.93,27697.07,51.24,36.32
TRP00059,2026-07-29,2026-07,VEH019,DRV018,CUS036,Hyderabad,Nagpur,501.4,In Transit,39000.0,24158.12,14841.88,38.06,48.18
TRP00060,2025-09-24,2025-09,VEH020,DRV010,CUS023,Aurangabad,Mumbai,330.7,Delayed,26659.0,15085.58,11573.42,43.41,45.62
TRP00061,2026-08-01,2026-08,VEH009,DRV019,CUS015,Jaipur,Ahmedabad,691.7,In Transit,49766.0,26073.89,23692.11,47.61,37.7
TRP00062,2025-02-13,2025-02,VEH009,DRV001,CUS012,Indore,Pune,586.9,Delivered,41026.0,25667.98,15358.02,37.43,43.73
TRP00063,2026-05-17,2026-05,VEH005,DRV024,CUS041,Mumbai,Nashik,167.1,Delivered,12478.0,11282.17,1195.83,9.58,67.52
TRP00064,2025-05-01,2025-05,VEH019,DRV020,CUS006,Mumbai,Ahmedabad,546.1,Delivered,37883.0,19737.67,18145.33,47.9,36.14
TRP00065,2026-06-20,2026-06,VEH009,DRV007,CUS049,Bengaluru,Chennai,346.5,Delivered,22065.0,23026.52,-961.52,-4.36,66.45
TRP00066,2025-10-26,2025-10,VEH020,DRV002,CUS001,Pune,Surat,429.3,Delivered,31500.0,24708.73,6791.27,21.56,57.56
TRP00067,2026-07-28,2026-07,VEH006,DRV005,CUS025,Jaipur,Delhi,282.8,In Transit,10336.0,12023.85,-1687.85,-16.33,42.52
TRP00068,2026-04-10,2026-04,VEH001,DRV015,CUS005,Surat,Nashik,274.3,Delayed,8927.0,16561.22,-7634.22,-85.52,60.38
TRP00069,2026-03-24,2026-03,VEH020,DRV015,CUS045,Nagpur,Aurangabad,518.8,Delivered,44367.0,22226.97,22140.03,49.9,42.84
TRP00070,2025-08-24,2025-08,VEH008,DRV011,CUS050,Mumbai,Jaipur,1178.9,Delivered,72606.0,48295.18,24310.82,33.48,40.97
TRP00071,2025-04-25,2025-04,VEH005,DRV008,CUS007,Mumbai,Delhi,1377.4,Delivered,109499.0,47727.64,61771.36,56.41,34.65
TRP00072,2025-12-27,2025-12,VEH019,DRV015,CUS044,Indore,Aurangabad,482.5,Delivered,34307.0,20891.97,13415.03,39.1,43.3
TRP00073,2025-04-06,2025-04,VEH009,DRV019,CUS004,Indore,Nagpur,432.8,Delivered,29653.0,20882.57,8770.43,29.58,48.25
TRP00074,2025-03-21,2025-03,VEH003,DRV020,CUS039,Bengaluru,Chennai,350.7,Cancelled,1065.0,620.52,444.48,41.74,1.77
TRP00075,2026-07-24,2026-07,VEH016,DRV017,CUS010,Mumbai,Ahmedabad,548.5,In Transit,18401.0,22989.22,-4588.22,-24.93,41.91
TRP00076,2026-03-10,2026-03,VEH015,DRV015,CUS034,Chennai,Hyderabad,624.4,Cancelled,5633.0,0,5633.0,100.0,0.0
TRP00077,2025-07-10,2025-07,VEH011,DRV003,CUS022,Aurangabad,Mumbai,335.3,Delivered,12633.0,19855.54,-7222.54,-57.17,59.22
TRP00078,2026-07-25,2026-07,VEH013,DRV005,CUS039,Mumbai,Nagpur,830.1,In Transit,53530.0,27449.95,26080.05,48.72,33.07
TRP00079,2025-09-14,2025-09,VEH017,DRV003,CUS042,Jaipur,Ahmedabad,641.2,Delivered,31519.0,27745.73,3773.27,11.97,43.27
TRP00080,2025-03-17,2025-03,VEH005,DRV003,CUS019,Aurangabad,Mumbai,339.4,Delayed,24707.0,18549.32,6157.68,24.92,54.65
TRP00081,2025-10-08,2025-10,VEH006,DRV006,CUS045,Jaipur,Mumbai,1124.4,Delivered,45021.0,35044.04,9976.96,22.16,31.17
TRP00082,2026-07-26,2026-07,VEH008,DRV018,CUS016,Indore,Nashik,413.1,In Transit,28250.0,17522.3,10727.7,37.97,42.42
TRP00083,2025-08-30,2025-08,VEH015,DRV025,CUS019,Ahmedabad,Surat,265.9,Delivered,20468.0,12426.69,8041.31,39.29,46.73
TRP00084,2025-06-14,2025-06,VEH016,DRV028,CUS024,Hyderabad,Aurangabad,513.5,Delivered,19315.0,19993.73,-678.73,-3.51,38.94
TRP00085,2026-01-30,2026-01,VEH005,DRV027,CUS028,Nagpur,Mumbai,819.8,Delivered,59905.0,26694.77,33210.23,55.44,32.56
TRP00086,2026-01-16,2026-01,VEH008,DRV013,CUS006,Nagpur,Aurangabad,497.7,Delivered,28778.0,42940.37,-14162.37,-49.21,86.28
TRP00087,2025-10-27,2025-10,VEH016,DRV023,CUS009,Indore,Hyderabad,679.3,Delivered,26228.0,25120.2,1107.8,4.22,36.98
TRP00088,2026-05-21,2026-05,VEH017,DRV014,CUS008,Nashik,Aurangabad,205.7,Delivered,9420.0,13344.03,-3924.03,-41.66,64.87
TRP00089,2026-04-09,2026-04,VEH017,DRV019,CUS016,Mumbai,Delhi,1358.2,Delivered,64731.0,40728.29,24002.71,37.08,29.99
TRP00090,2026-03-10,2026-03,VEH017,DRV018,CUS033,Chennai,Bengaluru,345.4,Delivered,17103.0,18316.739999999998,-1213.74,-7.1,53.03
TRP00091,2025-03-24,2025-03,VEH003,DRV012,CUS016,Aurangabad,Mumbai,344.7,Delivered,20242.0,14940.77,5301.23,26.19,43.34
TRP00092,2026-05-21,2026-05,VEH015,DRV023,CUS031,Nashik,Pune,204.8,Delayed,13926.0,13356.630000000001,569.37,4.09,65.22
TRP00093,2025-03-16,2025-03,VEH002,DRV011,CUS020,Bengaluru,Chennai,357.2,Delivered,17337.0,16936.120000000003,400.88,2.31,47.41
TRP00094,2026-03-23,2026-03,VEH002,DRV028,CUS042,Nagpur,Hyderabad,517.0,Delivered,22960.0,20438.23,2521.77,10.98,39.53
TRP00095,2025-08-10,2025-08,VEH016,DRV012,CUS034,Indore,Pune,606.6,Delivered,20319.0,39947.1,-19628.1,-96.6,65.85
TRP00096,2026-02-03,2026-02,VEH010,DRV010,CUS029,Ahmedabad,Jaipur,663.6,Delivered,54599.0,37621.69,16977.31,31.09,56.69
TRP00097,2025-03-10,2025-03,VEH002,DRV003,CUS043,Surat,Indore,413.6,Delayed,20256.0,32392.99,-12136.99,-59.92,78.32
TRP00098,2025-07-14,2025-07,VEH005,DRV003,CUS016,Nagpur,Aurangabad,523.0,Delivered,42084.0,22931.65,19152.35,45.51,43.85
TRP00099,2025-06-03,2025-06,VEH019,DRV005,CUS034,Nagpur,Aurangabad,511.0,Delivered,35241.0,20476.77,14764.23,41.9,40.07
TRP00100,2026-06-24,2026-06,VEH018,DRV004,CUS017,Nagpur,Pune,691.0,Delivered,41662.0,28878.76,12783.24,30.68,41.79
TRP00101,2025-12-01,2025-12,VEH015,DRV003,CUS044,Surat,Nashik,277.2,Delivered,23618.0,14660.49,8957.51,37.93,52.89
TRP00102,2026-07-26,2026-07,VEH006,DRV026,CUS024,Bengaluru,Chennai,361.8,In Transit,12249.0,17076.13,-4827.13,-39.41,47.2
TRP00103,2026-06-12,2026-06,VEH012,DRV015,CUS036,Hyderabad,Mumbai,693.6,Delivered,33268.0,28446.14,4821.86,14.49,41.01
TRP00104,2025-08-12,2025-08,VEH011,DRV021,CUS005,Ahmedabad,Delhi,960.8,Delivered,36242.0,34872.13,1369.87,3.78,36.29
TRP00105,2025-09-25,2025-09,VEH002,DRV027,CUS008,Hyderabad,Chennai,614.5,Delivered,30105.0,19976.7,10128.3,33.64,32.51
TRP00106,2025-07-14,2025-07,VEH018,DRV009,CUS009,Indore,Nashik,391.0,Delayed,23584.0,19615.11,3968.89,16.83,50.17
TRP00107,2025-09-10,2025-09,VEH019,DRV002,CUS002,Mumbai,Nagpur,847.7,Delivered,56488.0,31449.9,25038.1,44.32,37.1
TRP00108,2025-12-08,2025-12,VEH018,DRV010,CUS042,Nashik,Indore,413.8,Delayed,21668.0,19437.22,2230.78,10.3,46.97
TRP00109,2026-01-26,2026-01,VEH016,DRV015,CUS014,Hyderabad,Nagpur,497.5,Delayed,19342.0,18537.28,804.72,4.16,37.26
TRP00110,2025-03-30,2025-03,VEH004,DRV011,CUS016,Indore,Bengaluru,1207.2,Delivered,86375.0,40797.9,45577.1,52.77,33.8
TRP00111,2026-07-19,2026-07,VEH006,DRV027,CUS021,Indore,Aurangabad,453.2,Delivered,15651.0,26670.84,-11019.84,-70.41,58.85
TRP00112,2026-06-28,2026-06,VEH013,DRV017,CUS030,Pune,Hyderabad,559.0,Delivered,29436.0,32493.9,-3057.9,-10.39,58.13
TRP00113,2026-03-24,2026-03,VEH004,DRV014,CUS009,Nagpur,Pune,721.8,Delivered,46554.0,27255.760000000002,19298.24,41.45,37.76
TRP00114,2025-06-08,2025-06,VEH013,DRV017,CUS029,Aurangabad,Hyderabad,524.6,Delayed,31658.0,26602.36,5055.64,15.97,50.71
TRP00115,2025-03-25,2025-03,VEH011,DRV018,CUS024,Mumbai,Delhi,1415.0,Delivered,53943.0,46674.1,7268.9,13.48,32.99
TRP00116,2025-12-10,2025-12,VEH005,DRV020,CUS033,Mumbai,Hyderabad,723.5,Delivered,57705.0,23314.29,34390.71,59.6,32.22
TRP00117,2026-07-23,2026-07,VEH001,DRV012,CUS022,Bengaluru,Mumbai,1001.4,In Transit,35875.0,45749.83,-9874.83,-27.53,45.69
TRP00118,2026-03-03,2026-03,VEH019,DRV019,CUS015,Ahmedabad,Mumbai,521.3,Delayed,35317.0,20394.11,14922.89,42.25,39.12
TRP00119,2026-04-03,2026-04,VEH004,DRV007,CUS002,Ahmedabad,Delhi,933.0,Delayed,71900.0,50210.94,21689.06,30.17,53.82
TRP00120,2026-02-27,2026-02,VEH002,DRV023,CUS009,Hyderabad,Chennai,622.5,Delayed,29754.0,22990.600000000002,6763.4,22.73,36.93
TRP00121,2025-12-09,2025-12,VEH018,DRV012,CUS044,Nagpur,Pune,689.8,Delivered,42563.0,34749.55,7813.45,18.36,50.38
TRP00122,2025-11-28,2025-11,VEH016,DRV011,CUS031,Indore,Nagpur,454.5,Delayed,17949.0,20346.83,-2397.83,-13.36,44.77
TRP00123,2026-01-27,2026-01,VEH013,DRV027,CUS023,Mumbai,Delhi,1390.2,Delayed,78224.0,47010.71000000001,31213.29,39.9,33.82
TRP00124,2025-10-10,2025-10,VEH007,DRV027,CUS035,Indore,Pune,605.2,Delivered,27915.0,35859.26,-7944.26,-28.46,59.25
TRP00125,2025-07-18,2025-07,VEH014,DRV011,CUS046,Indore,Hyderabad,722.2,Delivered,48730.0,26421.78,22308.22,45.78,36.59
TRP00126,2025-03-17,2025-03,VEH010,DRV011,CUS019,Ahmedabad,Mumbai,517.9,Delivered,42875.0,32749.989999999998,10125.01,23.62,63.24
TRP00127,2026-07-27,2026-07,VEH002,DRV027,CUS026,Bengaluru,Hyderabad,587.1,In Transit,25937.0,33335.33,-7398.33,-28.52,56.78
TRP00128,2025-06-24,2025-06,VEH004,DRV030,CUS022,Nashik,Aurangabad,214.5,Delivered,14687.0,15771.550000000001,-1084.55,-7.38,73.53
TRP00129,2026-01-18,2026-01,VEH011,DRV006,CUS047,Bengaluru,Indore,1233.0,Delivered,43975.0,41716.43,2258.57,5.14,33.83
TRP00130,2025-06-30,2025-06,VEH013,DRV027,CUS028,Bengaluru,Chennai,345.7,Delivered,18310.0,17002.89,1307.11,7.14,49.18
TRP00131,2026-02-10,2026-02,VEH015,DRV025,CUS018,Nagpur,Hyderabad,513.9,Delivered,40695.0,22228.61,18466.39,45.38,43.25
TRP00132,2025-06-07,2025-06,VEH006,DRV013,CUS044,Chennai,Bengaluru,359.2,Delayed,12359.0,27703.74,-15344.74,-124.16,77.13
TRP00133,2026-06-04,2026-06,VEH005,DRV016,CUS010,Bengaluru,Indore,1222.2,Delivered,104000.0,45040.399999999994,58959.6,56.69,36.85
TRP00134,2025-06-01,2025-06,VEH020,DRV028,CUS006,Hyderabad,Chennai,641.4,Delivered,47769.0,21841.15,25927.85,54.28,34.05
TRP00135,2025-05-11,2025-05,VEH011,DRV028,CUS034,Ahmedabad,Delhi,937.1,Delivered,35409.0,37806.16,-2397.16,-6.77,40.34
TRP00136,2026-07-23,2026-07,VEH017,DRV014,CUS030,Aurangabad,Indore,463.2,In Transit,24553.0,15712.7,8840.3,36.0,33.92
TRP00137,2025-04-18,2025-04,VEH019,DRV003,CUS003,Ahmedabad,Jaipur,643.6,Cancelled,1175.0,620.95,554.05,47.15,0.96
TRP00138,2026-02-28,2026-02,VEH005,DRV025,CUS042,Ahmedabad,Indore,421.7,Delivered,33561.0,26058.920000000002,7502.08,22.35,61.79
TRP00139,2026-07-23,2026-07,VEH006,DRV018,CUS026,Hyderabad,Chennai,655.2,In Transit,24688.0,23632.34,1055.66,4.28,36.07
TRP00140,2025-06-02,2025-06,VEH014,DRV018,CUS025,Pune,Bengaluru,838.1,Delivered,64418.0,40620.11,23797.89,36.94,48.47
TRP00141,2025-03-28,2025-03,VEH001,DRV008,CUS014,Mumbai,Indore,569.0,Delivered,19653.0,22412.71,-2759.71,-14.04,39.39
TRP00142,2025-12-30,2025-12,VEH007,DRV025,CUS050,Mumbai,Ahmedabad,556.2,Delivered,26955.0,22992.47,3962.53,14.7,41.34
TRP00143,2025-08-05,2025-08,VEH017,DRV008,CUS027,Nashik,Indore,405.8,Delivered,18539.0,15416.919999999998,3122.08,16.84,37.99
TRP00144,2025-07-09,2025-07,VEH012,DRV021,CUS043,Ahmedabad,Surat,263.8,Delivered,13287.0,32275.61,-18988.61,-142.91,122.35
TRP00145,2026-04-09,2026-04,VEH008,DRV010,CUS046,Delhi,Mumbai,1460.5,Delivered,81815.0,52218.73,29596.27,36.17,35.75
TRP00146,2025-08-21,2025-08,VEH011,DRV021,CUS006,Delhi,Ahmedabad,928.5,Delayed,35024.0,38400.47,-3376.47,-9.64,41.36
TRP00147,2026-01-13,2026-01,VEH003,DRV007,CUS049,Ahmedabad,Nashik,466.8,Delivered,24748.0,32522.37,-7774.37,-31.41,69.67
TRP00148,2026-03-20,2026-03,VEH004,DRV024,CUS049,Hyderabad,Indore,718.0,Delayed,45938.0,29721.32,16216.68,35.3,41.39
TRP00149,2026-07-30,2026-07,VEH015,DRV018,CUS042,Nagpur,Indore,434.5,In Transit,36268.0,37419.59,-1151.59,-3.18,86.12
TRP00150,2026-07-25,2026-07,VEH011,DRV030,CUS014,Nagpur,Aurangabad,486.8,In Transit,17924.0,24443.98,-6519.98,-36.38,50.21
TRP00151,2026-07-30,2026-07,VEH014,DRV010,CUS010,Pune,Aurangabad,235.1,In Transit,17498.0,9600.88,7897.12,45.13,40.84
TRP00152,2025-06-30,2025-06,VEH016,DRV024,CUS042,Bengaluru,Hyderabad,586.3,Delivered,21634.0,22491.06,-857.06,-3.96,38.36
TRP00153,2026-04-05,2026-04,VEH002,DRV017,CUS003,Indore,Mumbai,598.7,Delayed,28147.0,32148.5,-4001.5,-14.22,53.7
TRP00154,2026-06-16,2026-06,VEH001,DRV007,CUS033,Indore,Bengaluru,1223.3,Delayed,41050.0,46602.55,-5552.55,-13.53,38.1
TRP00155,2026-04-23,2026-04,VEH001,DRV001,CUS034,Indore,Pune,585.8,Delivered,18726.0,22216.34,-3490.34,-18.64,37.92
TRP00156,2026-07-24,2026-07,VEH005,DRV008,CUS013,Hyderabad,Chennai,624.0,In Transit,49108.0,22374.44,26733.56,54.44,35.86
TRP00157,2025-05-13,2025-05,VEH008,DRV010,CUS044,Nagpur,Mumbai,862.1,Delayed,48201.0,32790.36,15410.64,31.97,38.04
TRP00158,2026-08-01,2026-08,VEH001,DRV023,CUS011,Mumbai,Nagpur,833.9,In Transit,35053.0,46609.36,-11556.36,-32.97,55.89
TRP00159,2025-11-21,2025-11,VEH002,DRV008,CUS014,Aurangabad,Indore,447.9,Delivered,21278.0,20281.67,996.33,4.68,45.28
TRP00160,2025-04-26,2025-04,VEH001,DRV007,CUS038,Delhi,Mumbai,1437.8,Delivered,55966.0,54668.36,1297.64,2.32,38.02
TRP00161,2026-01-27,2026-01,VEH018,DRV011,CUS025,Hyderabad,Mumbai,727.9,Delivered,37239.0,31735.05,5503.95,14.78,43.6
TRP00162,2026-05-14,2026-05,VEH020,DRV025,CUS040,Indore,Surat,398.4,Delayed,30599.0,20578.489999999998,10020.51,32.75,51.65
TRP00163,2026-07-24,2026-07,VEH006,DRV022,CUS038,Surat,Ahmedabad,270.2,In Transit,9596.0,13611.39,-4015.39,-41.84,50.38
TRP00164,2026-05-08,2026-05,VEH005,DRV024,CUS025,Nashik,Surat,263.9,Cancelled,534.0,0,534.0,100.0,0.0
TRP00165,2025-05-13,2025-05,VEH015,DRV018,CUS036,Bengaluru,Chennai,335.4,Delivered,25618.0,21890.989999999998,3727.01,14.55,65.27
TRP00166,2025-10-13,2025-10,VEH014,DRV013,CUS050,Nagpur,Mumbai,842.3,Cancelled,1152.0,464.43,687.57,59.68,0.55
TRP00167,2026-06-17,2026-06,VEH010,DRV009,CUS032,Mumbai,Delhi,1406.7,Delivered,103697.0,45677.04,58019.96,55.95,32.47
TRP00168,2026-03-19,2026-03,VEH016,DRV020,CUS040,Pune,Aurangabad,230.5,Delivered,8785.0,15526.64,-6741.64,-76.74,67.36
TRP00169,2026-06-12,2026-06,VEH011,DRV014,CUS042,Mumbai,Hyderabad,723.0,Delayed,27402.0,27178.5,223.5,0.82,37.59
TRP00170,2025-06-03,2025-06,VEH016,DRV019,CUS016,Nashik,Surat,279.5,Delivered,10596.0,20008.149999999998,-9412.15,-88.83,71.59
TRP00171,2026-07-24,2026-07,VEH018,DRV001,CUS047,Bengaluru,Indore,1184.1,In Transit,70277.0,37852.16,32424.84,46.14,31.97
TRP00172,2026-02-28,2026-02,VEH016,DRV005,CUS041,Nashik,Indore,409.1,Delayed,14876.0,18758.45,-3882.45,-26.1,45.85
TRP00173,2025-05-05,2025-05,VEH017,DRV030,CUS045,Indore,Ahmedabad,418.5,Delivered,20400.0,22873.739999999998,-2473.74,-12.13,54.66
TRP00174,2026-07-24,2026-07,VEH020,DRV002,CUS037,Indore,Surat,398.6,In Transit,29634.0,17195.23,12438.77,41.97,43.14
TRP00175,2026-07-04,2026-07,VEH017,DRV018,CUS038,Aurangabad,Indore,460.0,Delivered,21554.0,15827.949999999999,5726.05,26.57,34.41
TRP00176,2026-07-31,2026-07,VEH003,DRV004,CUS047,Mumbai,Delhi,1396.4,In Transit,80568.0,43944.23,36623.77,45.46,31.47
TRP00177,2026-01-24,2026-01,VEH015,DRV011,CUS005,Nashik,Indore,410.7,Delivered,35350.0,18301.8,17048.2,48.23,44.56
TRP00178,2026-03-28,2026-03,VEH017,DRV006,CUS036,Mumbai,Jaipur,1159.7,Delivered,57014.0,41826.65,15187.35,26.64,36.07
