trip_id,customer_id,vehicle_id,driver_id,origin,destination,dispatch_date,expected_delivery_date,actual_delivery_date,trip_status,is_on_time,is_delayed,delay_days
TRP00076,CUS034,VEH015,DRV015,Chennai,Hyderabad,2026-03-10,2026-03-12,,Cancelled,0,0,
TRP00077,CUS022,VEH011,DRV003,Aurangabad,Mumbai,2025-07-10,2025-07-11,2025-07-10,Delivered,1,0,-1
TRP00078,CUS039,VEH013,DRV005,Mumbai,Nagpur,2026-07-25,2026-07-27,,In Transit,0,0,
TRP00079,CUS042,VEH017,DRV003,Jaipur,Ahmedabad,2025-09-14,2025-09-16,2025-09-16,Delivered,1,0,0
TRP00080,CUS019,VEH005,DRV003,Aurangabad,Mumbai,2025-03-17,2025-03-18,2025-03-23,Delayed,0,1,5
TRP00081,CUS045,VEH006,DRV006,Jaipur,Mumbai,2025-10-08,2025-10-11,2025-10-11,Delivered,1,0,0
TRP00082,CUS016,VEH008,DRV018,Indore,Nashik,2026-07-26,2026-07-27,,In Transit,0,0,
TRP00083,CUS019,VEH015,DRV025,Ahmedabad,Surat,2025-08-30,2025-08-31,2025-08-30,Delivered,1,0,-1
TRP00084,CUS024,VEH016,DRV028,Hyderabad,Aurangabad,2025-06-14,2025-06-15,2025-06-14,Delivered,1,0,-1
TRP00085,CUS028,VEH005,DRV027,Nagpur,Mumbai,2026-01-30,2026-02-01,2026-02-01,Delivered,1,0,0
TRP00086,CUS006,VEH008,DRV013,Nagpur,Aurangabad,2026-01-16,2026-01-17,2026-01-16,Delivered,1,0,-1
TRP00087,CUS009,VEH016,DRV023,Indore,Hyderabad,2025-10-27,2025-10-29,2025-10-28,Delivered,1,0,-1
TRP00088,CUS008,VEH017,DRV014,Nashik,Aurangabad,2026-05-21,2026-05-22,2026-05-22,Delivered,1,0,0
TRP00089,CUS016,VEH017,DRV019,Mumbai,Delhi,2026-04-09,2026-04-13,2026-04-12,Delivered,1,0,-1
TRP00090,CUS033,VEH017,DRV018,Chennai,Bengaluru,2026-03-10,2026-03-11,2026-03-11,Delivered,1,0,0
TRP00091,CUS016,VEH003,DRV012,Aurangabad,Mumbai,2025-03-24,2025-03-25,2025-03-25,Delivered,1,0,0
TRP00092,CUS031,VEH015,DRV023,Nashik,Pune,2026-05-21,2026-05-22,2026-05-24,Delayed,0,1,2
TRP00093,CUS020,VEH002,DRV011,Bengaluru,Chennai,2025-03-16,2025-03-17,2025-03-16,Delivered,1,0,-1
TRP00094,CUS042,VEH002,DRV028,Nagpur,Hyderabad,2026-03-23,2026-03-24,2026-03-24,Delivered,1,0,0
TRP00095,CUS034,VEH016,DRV012,Indore,Pune,2025-08-10,2025-08-12,2025-08-12,Delivered,1,0,0
TRP00096,CUS029,VEH010,DRV010,Ahmedabad,Jaipur,2026-02-03,2026-02-05,2026-02-05,Delivered,1,0,0
TRP00097,CUS043,VEH002,DRV003,Surat,Indore,2025-03-10,2025-03-11,2025-03-16,Delayed,0,1,5
TRP00098,CUS016,VEH005,DRV003,Nagpur,Aurangabad,2025-07-14,2025-07-15,2025-07-15,Delivered,1,0,0
TRP00099,CUS034,VEH019,DRV005,Nagpur,Aurangabad,2025-06-03,2025-06-05,2025-06-04,Delivered,1,0,-1
TRP00100,CUS017,VEH018,DRV004,Nagpur,Pune,2026-06-24,2026-06-26,2026-06-25,Delivered,1,0,-1
TRP00101,CUS044,VEH015,DRV003,Surat,Nashik,2025-12-01,2025-12-02,2025-12-01,Delivered,1,0,-1
TRP00102,CUS024,VEH006,DRV026,Bengaluru,Chennai,2026-07-26,2026-07-27,,In Transit,0,0,
TRP00103,CUS036,VEH012,DRV015,Hyderabad,Mumbai,2026-06-12,2026-06-14,2026-06-14,Delivered,1,0,0
TRP00104,CUS005,VEH011,DRV021,Ahmedabad,Delhi,2025-08-12,2025-08-14,2025-08-13,Delivered,1,0,-1
TRP00105,CUS008,VEH002,DRV027,Hyderabad,Chennai,2025-09-25,2025-09-27,2025-09-27,Delivered,1,0,0
TRP00106,CUS009,VEH018,DRV009,Indore,Nashik,2025-07-14,2025-07-15,2025-07-20,Delayed,0,1,5
TRP00107,CUS002,VEH019,DRV002,Mumbai,Nagpur,2025-09-10,2025-09-12,2025-09-12,Delivered,1,0,0
TRP00108,CUS042,VEH018,DRV010,Nashik,Indore,2025-12-08,2025-12-09,2025-12-15,Delayed,0,1,6
TRP00109,CUS014,VEH016,DRV015,Hyderabad,Nagpur,2026-01-26,2026-01-27,2026-01-29,Delayed,0,1,2
TRP00110,CUS016,VEH004,DRV011,Indore,Bengaluru,2025-03-30,2025-04-02,2025-04-02,Delivered,1,0,0
TRP00111,CUS021,VEH006,DRV027,Indore,Aurangabad,2026-07-19,2026-07-20,2026-07-20,Delivered,1,0,0
TRP00112,CUS030,VEH013,DRV017,Pune,Hyderabad,2026-06-28,2026-06-29,2026-06-29,Delivered,1,0,0
TRP00113,CUS009,VEH004,DRV014,Nagpur,Pune,2026-03-24,2026-03-26,2026-03-25,Delivered,1,0,-1
TRP00114,CUS029,VEH013,DRV017,Aurangabad,Hyderabad,2025-06-08,2025-06-10,2025-06-11,Delayed,0,1,1
TRP00115,CUS024,VEH011,DRV018,Mumbai,Delhi,2025-03-25,2025-03-29,2025-03-29,Delivered,1,0,0
TRP00116,CUS033,VEH005,DRV020,Mumbai,Hyderabad,2025-12-10,2025-12-12,2025-12-12,Delivered,1,0,0
TRP00117,CUS022,VEH001,DRV012,Bengaluru,Mumbai,2026-07-23,2026-07-26,,In Transit,0,0,
TRP00118,CUS015,VEH019,DRV019,Ahmedabad,Mumbai,2026-03-03,2026-03-05,2026-03-11,Delayed,0,1,6
TRP00119,CUS002,VEH004,DRV007,Ahmedabad,Delhi,2026-04-03,2026-04-06,2026-04-11,Delayed,0,1,5
TRP00120,CUS009,VEH002,DRV023,Hyderabad,Chennai,2026-02-27,2026-03-01,2026-03-03,Delayed,0,1,2
TRP00121,CUS044,VEH018,DRV012,Nagpur,Pune,2025-12-09,2025-12-11,2025-12-11,Delivered,1,0,0
TRP00122,CUS031,VEH016,DRV011,Indore,Nagpur,2025-11-28,2025-11-29,2025-12-05,Delayed,0,1,6
TRP00123,CUS023,VEH013,DRV027,Mumbai,Delhi,2026-01-27,2026-01-30,2026-02-05,Delayed,0,1,6
TRP00124,CUS035,VEH007,DRV027,Indore,Pune,2025-10-10,2025-10-12,2025-10-11,Delivered,1,0,-1
TRP00125,CUS046,VEH014,DRV011,Indore,Hyderabad,2025-07-18,2025-07-20,2025-07-20,Delivered,1,0,0
TRP00126,CUS019,VEH010,DRV011,Ahmedabad,Mumbai,2025-03-17,2025-03-18,2025-03-17,Delivered,1,0,-1
TRP00127,CUS026,VEH002,DRV027,Bengaluru,Hyderabad,2026-07-27,2026-07-28,,In Transit,0,0,
TRP00128,CUS022,VEH004,DRV030,Nashik,Aurangabad,2025-06-24,2025-06-25,2025-06-25,Delivered,1,0,0
TRP00129,CUS047,VEH011,DRV006,Bengaluru,Indore,2026-01-18,2026-01-21,2026-01-20,Delivered,1,0,-1
TRP00130,CUS028,VEH013,DRV027,Bengaluru,Chennai,2025-06-30,2025-07-01,2025-06-30,Delivered,1,0,-1
TRP00131,CUS018,VEH015,DRV025,Nagpur,Hyderabad,2026-02-10,2026-02-11,2026-02-10,Delivered,1,0,-1
TRP00132,CUS044,VEH006,DRV013,Chennai,Bengaluru,2025-06-07,2025-06-08,2025-06-11,Delayed,0,1,3
TRP00133,CUS010,VEH005,DRV016,Bengaluru,Indore,2026-06-04,2026-06-07,2026-06-06,Delivered,1,0,-1
TRP00134,CUS006,VEH020,DRV028,Hyderabad,Chennai,2025-06-01,2025-06-03,2025-06-02,Delivered,1,0,-1
TRP00135,CUS034,VEH011,DRV028,Ahmedabad,Delhi,2025-05-11,2025-05-13,2025-05-13,Delivered,1,0,0
TRP00136,CUS030,VEH017,DRV014,Aurangabad,Indore,2026-07-23,2026-07-24,,In Transit,0,0,
TRP00137,CUS003,VEH019,DRV003,Ahmedabad,Jaipur,2025-04-18,2025-04-20,,Cancelled,0,0,
TRP00138,CUS042,VEH005,DRV025,Ahmedabad,Indore,2026-02-28,2026-03-01,2026-02-28,Delivered,1,0,-1
TRP00139,CUS026,VEH006,DRV018,Hyderabad,Chennai,2026-07-23,2026-07-25,,In Transit,0,0,
TRP00140,CUS025,VEH014,DRV018,Pune,Bengaluru,2025-06-02,2025-06-05,2025-06-05,Delivered,1,0,0
TRP00141,CUS014,VEH001,DRV008,Mumbai,Indore,2025-03-28,2025-03-30,2025-03-29,Delivered,1,0,-1
TRP00142,CUS050,VEH007,DRV025,Mumbai,Ahmedabad,2025-12-30,2025-12-31,2025-12-31,Delivered,1,0,0
TRP00143,CUS027,VEH017,DRV008,Nashik,Indore,2025-08-05,2025-08-06,2025-08-06,Delivered,1,0,0
TRP00144,CUS043,VEH012,DRV021,Ahmedabad,Surat,2025-07-09,2025-07-10,2025-07-09,Delivered,1,0,-1
TRP00145,CUS046,VEH008,DRV010,Delhi,Mumbai,2026-04-09,2026-04-13,2026-04-12,Delivered,1,0,-1
TRP00146,CUS006,VEH011,DRV021,Delhi,Ahmedabad,2025-08-21,2025-08-24,2025-08-28,Delayed,0,1,4
TRP00147,CUS049,VEH003,DRV007,Ahmedabad,Nashik,2026-01-13,2026-01-14,2026-01-13,Delivered,1,0,-1
TRP00148,CUS049,VEH004,DRV024,Hyderabad,Indore,2026-03-20,2026-03-22,2026-03-27,Delayed,0,1,5
TRP00149,CUS042,VEH015,DRV018,Nagpur,Indore,2026-07-30,2026-07-31,,In Transit,0,0,
TRP00150,CUS014,VEH011,DRV030,Nagpur,Aurangabad,2026-07-25,2026-07-27,,In Transit,0,0,
TRP00151,CUS010,VEH014,DRV010,Pune,Aurangabad,2026-07-30,2026-07-31,,In Transit,0,0,
TRP00152,CUS042,VEH016,DRV024,Bengaluru,Hyderabad,2025-06-30,2025-07-01,2025-07-01,Delivered,1,0,0
TRP00153,CUS003,VEH002,DRV017,Indore,Mumbai,2026-04-05,2026-04-07,2026-04-13,Delayed,0,1,6
TRP00154,CUS033,VEH001,DRV007,Indore,Bengaluru,2026-06-16,2026-06-19,2026-06-20,Delayed,0,1,1
TRP00155,CUS034,VEH001,DRV001,Indore,Pune,2026-04-23,2026-04-24,2026-04-23,Delivered,1,0,-1
TRP00156,CUS013,VEH005,DRV008,Hyderabad,Chennai,2026-07-24,2026-07-26,,In Transit,0,0,
TRP00157,CUS044,VEH008,DRV010,Nagpur,Mumbai,2025-05-13,2025-05-15,2025-05-19,Delayed,0,1,4
TRP00158,CUS011,VEH001,DRV023,Mumbai,Nagpur,2026-08-01,2026-08-03,,In Transit,0,0,
TRP00159,CUS014,VEH002,DRV008,Aurangabad,Indore,2025-11-21,2025-11-22,2025-11-21,Delivered,1,0,-1
TRP00160,CUS038,VEH001,DRV007,Delhi,Mumbai,2025-04-26,2025-04-30,2025-04-29,Delivered,1,0,-1
TRP00161,CUS025,VEH018,DRV011,Hyderabad,Mumbai,2026-01-27,2026-01-29,2026-01-29,Delivered,1,0,0
TRP00162,CUS040,VEH020,DRV025,Indore,Surat,2026-05-14,2026-05-15,2026-05-18,Delayed,0,1,3
TRP00163,CUS038,VEH006,DRV022,Surat,Ahmedabad,2026-07-24,2026-07-25,,In Transit,0,0,
TRP00164,CUS025,VEH005,DRV024,Nashik,Surat,2026-05-08,2026-05-09,,Cancelled,0,0,
TRP00165,CUS036,VEH015,DRV018,Bengaluru,Chennai,2025-05-13,2025-05-14,2025-05-14,Delivered,1,0,0
TRP00166,CUS050,VEH014,DRV013,Nagpur,Mumbai,2025-10-13,2025-10-15,,Cancelled,0,0,
TRP00167,CUS032,VEH010,DRV009,Mumbai,Delhi,2026-06-17,2026-06-21,2026-06-21,Delivered,1,0,0
TRP00168,CUS040,VEH016,DRV020,Pune,Aurangabad,2026-03-19,2026-03-20,2026-03-20,Delivered,1,0,0
TRP00169,CUS042,VEH011,DRV014,Mumbai,Hyderabad,2026-06-12,2026-06-14,2026-06-18,Delayed,0,1,4
TRP00170,CUS016,VEH016,DRV019,Nashik,Surat,2025-06-03,2025-06-04,2025-06-03,Delivered,1,0,-1
TRP00171,CUS047,VEH018,DRV001,Bengaluru,Indore,2026-07-24,2026-07-27,,In Transit,0,0,
TRP00172,CUS041,VEH016,DRV005,Nashik,Indore,2026-02-28,2026-03-01,2026-03-06,Delayed,0,1,5
TRP00173,CUS045,VEH017,DRV030,Indore,Ahmedabad,2025-05-05,2025-05-06,2025-05-05,Delivered,1,0,-1
TRP00174,CUS037,VEH020,DRV002,Indore,Surat,2026-07-24,2026-07-25,,In Transit,0,0,
TRP00175,CUS038,VEH017,DRV018,Aurangabad,Indore,2026-07-04,2026-07-05,2026-07-04,Delivered,1,0,-1
TRP00176,CUS047,VEH003,DRV004,Mumbai,Delhi,2026-07-31,2026-08-04,,In Transit,0,0,
TRP00177,CUS005,VEH015,DRV011,Nashik,Indore,2026-01-24,2026-01-25,2026-01-24,Delivered,1,0,-1
TRP00178,CUS036,VEH017,DRV006,Mumbai,Jaipur,2026-03-28,2026-03-31,2026-03-30,Delivered,1,0,-1
TRP00179,CUS040,VEH001,DRV024,Pune,Aurangabad,2025-09-14,2025-09-15,2025-09-14,Delivered,1,0,-1
TRP00180,CUS024,VEH018,DRV006,Nashik,Surat,2026-06-23,2026-06-24,2026-06-30,Delayed,0,1,6
TRP00181,CUS008,VEH013,DRV019,Nagpur,Indore,2025-12-08,2025-12-09,2025-12-08,Delivered,1,0,-1
TRP00182,CUS008,VEH008,DRV010,Pune,Nashik,2025-06-28,2025-06-29,2025-06-29,Delivered,1,0,0
TRP00183,CUS011,VEH006,DRV018,Bengaluru,Hyderabad,2026-08-01,2026-08-03,,In Transit,0,0,
TRP00184,CUS025,VEH005,DRV007,Hyderabad,Aurangabad,2026-04-08,2026-04-09,2026-04-13,Delayed,0,1,4
TRP00185,CUS049,VEH001,DRV026,Pune,Bengaluru,2025-07-29,2025-07-31,2025-07-31,Delivered,1,0,0
TRP00186,CUS050,VEH004,DRV009,Jaipur,Delhi,2026-07-23,2026-07-24,,In Transit,0,0,
TRP00187,CUS048,VEH014,DRV004,Pune,Hyderabad,2026-01-29,2026-01-30,2026-01-29,Delivered,1,0,-1
TRP00188,CUS048,VEH008,DRV007,Ahmedabad,Nashik,2026-04-21,2026-04-22,2026-04-21,Delivered,1,0,-1
TRP00189,CUS023,VEH002,DRV019,Delhi,Jaipur,2025-12-03,2025-12-04,2025-12-04,Delivered,1,0,0
TRP00190,CUS049,VEH004,DRV005,Indore,Ahmedabad,2026-07-25,2026-07-26,,In Transit,0,0,
TRP00191,CUS016,VEH011,DRV027,Surat,Indore,2026-04-07,2026-04-08,2026-04-07,Delivered,1,0,-1
TRP00192,CUS033,VEH003,DRV013,Indore,Pune,2026-06-21,2026-06-23,2026-06-22,Delivered,1,0,-1
TRP00193,CUS030,VEH003,DRV024,Indore,Nagpur,2026-04-22,2026-04-23,2026-04-23,Delivered,1,0,0
TRP00194,CUS037,VEH011,DRV018,Hyderabad,Mumbai,2025-03-28,2025-03-30,2025-03-30,Delivered,1,0,0
TRP00195,CUS030,VEH006,DRV015,Pune,Mumbai,2025-06-22,2025-06-23,,Cancelled,0,0,
TRP00196,CUS024,VEH003,DRV021,Pune,Nagpur,2025-04-01,2025-04-03,2025-04-06,Delayed,0,1,3
TRP00197,CUS006,VEH014,DRV021,Mumbai,Aurangabad,2025-09-26,2025-09-27,2025-09-27,Delivered,1,0,0
TRP00198,CUS028,VEH004,DRV028,Mumbai,Hyderabad,2025-05-22,2025-05-24,2025-05-24,Delivered,1,0,0
TRP00199,CUS044,VEH005,DRV021,Mumbai,Delhi,2025-07-25,2025-07-29,2025-07-28,Delivered,1,0,-1
TRP00200,CUS044,VEH014,DRV020,Delhi,Ahmedabad,2025-06-13,2025-06-15,2025-06-15,Delivered,1,0,0
TRP00201,CUS018,VEH005,DRV008,Mumbai,Nagpur,2025-11-25,2025-11-27,2025-12-03,Delayed,0,1,6
TRP00202,CUS034,VEH010,DRV007,Bengaluru,Chennai,2025-10-10,2025-10-11,2025-10-12,Delayed,0,1,1
TRP00203,CUS001,VEH003,DRV017,Aurangabad,Nagpur,2026-08-01,2026-08-02,,In Transit,0,0,
TRP00204,CUS005,VEH016,DRV025,Nashik,Mumbai,2025-04-09,2025-04-10,2025-04-10,Delivered,1,0,0
TRP00205,CUS027,VEH017,DRV025,Jaipur,Ahmedabad,2025-07-13,2025-07-15,2025-07-15,Delivered,1,0,0
TRP00206,CUS021,VEH005,DRV018,Indore,Surat,2025-04-15,2025-04-16,2025-04-20,Delayed,0,1,4
TRP00207,CUS006,VEH002,DRV008,Ahmedabad,Jaipur,2025-08-05,2025-08-07,2025-08-06,Delivered,1,0,-1
TRP00208,CUS034,VEH012,DRV017,Pune,Nagpur,2026-07-27,2026-07-29,,In Transit,0,0,
TRP00209,CUS028,VEH011,DRV026,Indore,Pune,2025-04-26,2025-04-28,,Cancelled,0,0,
TRP00210,CUS011,VEH006,DRV012,Nagpur,Pune,2025-06-05,2025-06-07,2025-06-12,Delayed,0,1,5
TRP00211,CUS003,VEH001,DRV008,Indore,Hyderabad,2025-03-15,2025-03-17,2025-03-17,Delivered,1,0,0
TRP00212,CUS005,VEH011,DRV009,Aurangabad,Indore,2026-07-25,2026-07-26,,In Transit,0,0,
TRP00213,CUS030,VEH013,DRV003,Aurangabad,Nashik,2026-05-20,2026-05-21,2026-05-20,Delivered,1,0,-1
TRP00214,CUS030,VEH020,DRV008,Aurangabad,Nagpur,2025-08-26,2025-08-27,2025-09-01,Delayed,0,1,5
TRP00215,CUS027,VEH001,DRV030,Mumbai,Nashik,2026-07-23,2026-07-24,,In Transit,0,0,
TRP00216,CUS014,VEH010,DRV004,Chennai,Hyderabad,2025-07-02,2025-07-04,,Cancelled,0,0,
TRP00217,CUS045,VEH017,DRV014,Nagpur,Aurangabad,2026-07-09,2026-07-11,2026-07-11,Delivered,1,0,0
TRP00218,CUS009,VEH014,DRV022,Pune,Hyderabad,2026-03-16,2026-03-17,,Cancelled,0,0,
TRP00219,CUS009,VEH003,DRV007,Nashik,Ahmedabad,2025-12-25,2025-12-26,2025-12-26,Delivered,1,0,0
