payment_id,trip_id,customer_id,customer_name,invoice_date,invoice_amount,due_date,payment_date,payment_status,days_overdue
PAY00077,TRP00077,CUS022,Vishal Industries,2025-07-11,12633.0,2025-08-10,,Overdue,368
PAY00078,TRP00078,CUS039,Krishna Traders,2026-07-30,53530.0,2026-09-13,,Pending,
PAY00079,TRP00079,CUS042,National Motors,2025-09-19,31519.0,2025-10-19,2025-10-27,Paid,
PAY00080,TRP00080,CUS019,Jai Impex,2025-03-23,24707.0,2025-04-22,2025-04-12,Paid,
PAY00081,TRP00081,CUS045,Deccan Motors,2025-10-14,45021.0,2025-11-13,,Overdue,273
PAY00082,TRP00082,CUS016,Sahyadri Enterprises,2026-07-29,28250.0,2026-09-12,,Pending,
PAY00083,TRP00083,CUS019,Jai Impex,2025-08-30,20468.0,2025-09-29,,Overdue,318
PAY00084,TRP00084,CUS024,Western Logistics Pvt Ltd,2025-06-17,19315.0,2025-08-01,2025-07-14,Paid,
PAY00085,TRP00085,CUS028,Sahyadri Textiles,2026-02-03,59905.0,2026-02-18,2026-02-21,Paid,
PAY00086,TRP00086,CUS006,Vishal Traders,2026-01-19,28778.0,2026-02-18,,Overdue,176
PAY00087,TRP00087,CUS009,Western Retail Chain,2025-10-29,26228.0,2025-11-13,2025-11-11,Paid,
PAY00088,TRP00088,CUS008,Sahyadri Merchandise,2026-05-24,9420.0,2026-07-08,2026-05-27,Paid,
PAY00089,TRP00089,CUS016,Sahyadri Enterprises,2026-04-14,64731.0,2026-05-29,,Overdue,76
PAY00090,TRP00090,CUS033,Malabar Traders,2026-03-13,17103.0,2026-04-12,2026-04-12,Paid,
PAY00091,TRP00091,CUS016,Sahyadri Enterprises,2025-03-26,20242.0,2025-05-10,2025-03-27,Paid,
PAY00092,TRP00092,CUS031,Sai Pharma Ltd,2026-05-25,13926.0,2026-06-24,2026-06-25,Paid,
PAY00093,TRP00093,CUS020,Golden Manufacturing Co,2025-03-16,17337.0,2025-05-15,,Overdue,455
PAY00094,TRP00094,CUS042,National Motors,2026-03-26,22960.0,2026-04-25,2026-04-27,Paid,
PAY00095,TRP00095,CUS034,Vindhya Manufacturing Co,2025-08-13,20319.0,2025-08-28,2025-09-07,Paid,
PAY00096,TRP00096,CUS029,Vindhya Pharma Ltd,2026-02-07,54599.0,2026-03-09,2026-02-12,Paid,
PAY00097,TRP00097,CUS043,Deccan Distributors,2025-03-18,20256.0,2025-04-17,2025-04-24,Paid,
PAY00098,TRP00098,CUS016,Sahyadri Enterprises,2025-07-18,42084.0,2025-09-01,,Overdue,346
PAY00099,TRP00099,CUS034,Vindhya Manufacturing Co,2025-06-07,35241.0,2025-06-22,,Overdue,417
PAY00100,TRP00100,CUS017,Krishna Logistics Pvt Ltd,2026-06-25,41662.0,2026-07-25,2026-08-01,Paid,
PAY00101,TRP00101,CUS044,Malabar Merchandise,2025-12-01,23618.0,2026-01-15,,Overdue,210
PAY00102,TRP00102,CUS024,Western Logistics Pvt Ltd,2026-07-28,12249.0,2026-09-11,,Pending,
PAY00103,TRP00103,CUS036,United Industries,2026-06-14,33268.0,2026-08-13,2026-07-14,Paid,
PAY00104,TRP00104,CUS005,Om Industries,2025-08-14,36242.0,2025-09-13,2025-08-18,Paid,
PAY00105,TRP00105,CUS008,Sahyadri Merchandise,2025-09-29,30105.0,2025-11-13,2025-11-09,Paid,
PAY00106,TRP00106,CUS009,Western Retail Chain,2025-07-22,23584.0,2025-08-06,2025-08-01,Paid,
PAY00107,TRP00107,CUS002,Sai Exports,2025-09-12,56488.0,2025-10-12,2025-09-24,Paid,
PAY00108,TRP00108,CUS042,National Motors,2025-12-15,21668.0,2026-01-14,2025-12-26,Paid,
PAY00109,TRP00109,CUS014,Shree Traders,2026-01-31,19342.0,2026-03-17,,Overdue,149
PAY00110,TRP00110,CUS016,Sahyadri Enterprises,2025-04-04,86375.0,2025-05-19,2025-05-19,Paid,
PAY00111,TRP00111,CUS021,National Merchandise,2026-07-22,15651.0,2026-08-21,2026-08-01,Paid,
PAY00112,TRP00112,CUS030,Metro Pharma Ltd,2026-07-01,29436.0,2026-07-31,,Overdue,13
PAY00113,TRP00113,CUS009,Western Retail Chain,2026-03-25,46554.0,2026-04-09,2026-04-04,Paid,
PAY00114,TRP00114,CUS029,Vindhya Pharma Ltd,2025-06-13,31658.0,2025-07-13,,Overdue,396
PAY00115,TRP00115,CUS024,Western Logistics Pvt Ltd,2025-04-01,53943.0,2025-05-16,2025-04-12,Paid,
PAY00116,TRP00116,CUS033,Malabar Traders,2025-12-12,57705.0,2026-01-11,2026-01-14,Paid,
PAY00117,TRP00117,CUS022,Vishal Industries,2026-07-27,35875.0,2026-08-26,,Pending,
PAY00118,TRP00118,CUS015,Sunrise Impex,2026-03-12,35317.0,2026-04-11,,Overdue,124
PAY00119,TRP00119,CUS002,Sai Exports,2026-04-11,71900.0,2026-05-11,2026-04-16,Paid,
PAY00120,TRP00120,CUS009,Western Retail Chain,2026-03-03,29754.0,2026-03-18,,Overdue,148
PAY00121,TRP00121,CUS044,Malabar Merchandise,2025-12-11,42563.0,2026-01-25,2025-12-31,Paid,
PAY00122,TRP00122,CUS031,Sai Pharma Ltd,2025-12-07,17949.0,2026-01-06,2026-01-05,Paid,
PAY00123,TRP00123,CUS023,Prime Pharma Ltd,2026-02-07,78224.0,2026-03-09,2026-02-27,Paid,
PAY00124,TRP00124,CUS035,Krishna Manufacturing Co,2025-10-11,27915.0,2025-11-25,,Overdue,261
PAY00125,TRP00125,CUS046,Ganges Textiles,2025-07-20,48730.0,2025-08-19,2025-07-30,Paid,
PAY00126,TRP00126,CUS019,Jai Impex,2025-03-18,42875.0,2025-04-17,2025-04-01,Paid,
PAY00127,TRP00127,CUS026,Jai Manufacturing Co,2026-07-29,25937.0,2026-08-28,,Pending,
PAY00128,TRP00128,CUS022,Vishal Industries,2025-06-25,14687.0,2025-07-25,2025-07-03,Paid,
PAY00129,TRP00129,CUS047,Vishal Motors,2026-01-20,43975.0,2026-02-04,2026-02-05,Paid,
PAY00130,TRP00130,CUS028,Sahyadri Textiles,2025-07-03,18310.0,2025-07-18,2025-07-07,Paid,
PAY00131,TRP00131,CUS018,Shree Manufacturing Co,2026-02-10,40695.0,2026-03-12,,Overdue,154
PAY00132,TRP00132,CUS044,Malabar Merchandise,2025-06-11,12359.0,2025-07-26,2025-06-28,Paid,
PAY00133,TRP00133,CUS010,Metro Agro Foods,2026-06-06,104000.0,2026-07-21,2026-07-19,Paid,
PAY00134,TRP00134,CUS006,Vishal Traders,2025-06-02,47769.0,2025-07-02,,Overdue,407
PAY00135,TRP00135,CUS034,Vindhya Manufacturing Co,2025-05-13,35409.0,2025-05-28,,Overdue,442
PAY00136,TRP00136,CUS030,Metro Pharma Ltd,2026-07-25,24553.0,2026-08-24,,Pending,
PAY00137,TRP00137,CUS003,Vishal Retail Chain,,0.0,,,Not Applicable,
PAY00138,TRP00138,CUS042,National Motors,2026-03-01,33561.0,2026-03-31,2026-03-24,Paid,
PAY00139,TRP00139,CUS026,Jai Manufacturing Co,2026-07-25,24688.0,2026-08-24,,Pending,
PAY00140,TRP00140,CUS025,Shree Retail Chain,2025-06-05,64418.0,2025-07-05,2025-06-23,Paid,
PAY00141,TRP00141,CUS014,Shree Traders,2025-03-31,19653.0,2025-05-15,2025-05-25,Paid,
PAY00142,TRP00142,CUS050,Jai Pharma Ltd,2026-01-01,26955.0,2026-01-31,2026-01-06,Paid,
PAY00143,TRP00143,CUS027,National Exports,2025-08-06,18539.0,2025-09-05,,Overdue,342
PAY00144,TRP00144,CUS043,Deccan Distributors,2025-07-09,13287.0,2025-08-08,2025-07-22,Paid,
PAY00145,TRP00145,CUS046,Ganges Textiles,2026-04-14,81815.0,2026-05-14,2026-05-19,Paid,
PAY00146,TRP00146,CUS006,Vishal Traders,2025-08-28,35024.0,2025-09-27,,Overdue,320
PAY00147,TRP00147,CUS049,Krishna Pharma Ltd,2026-01-13,24748.0,2026-02-27,,Overdue,167
PAY00148,TRP00148,CUS049,Krishna Pharma Ltd,2026-03-30,45938.0,2026-05-14,2026-05-07,Paid,
PAY00149,TRP00149,CUS042,National Motors,2026-08-01,36268.0,2026-08-31,,Pending,
PAY00150,TRP00150,CUS014,Shree Traders,2026-07-30,17924.0,2026-09-13,,Pending,
PAY00151,TRP00151,CUS010,Metro Agro Foods,2026-07-31,17498.0,2026-09-14,,Pending,
PAY00152,TRP00152,CUS042,National Motors,2025-07-02,21634.0,2025-08-01,,Overdue,377
PAY00153,TRP00153,CUS003,Vishal Retail Chain,2026-04-16,28147.0,2026-06-15,2026-06-21,Paid,
PAY00154,TRP00154,CUS033,Malabar Traders,2026-06-21,41050.0,2026-07-21,2026-07-12,Paid,
PAY00155,TRP00155,CUS034,Vindhya Manufacturing Co,2026-04-23,18726.0,2026-05-08,2026-05-10,Paid,
PAY00156,TRP00156,CUS013,Krishna Corporation,2026-07-27,49108.0,2026-09-10,,Pending,
PAY00157,TRP00157,CUS044,Malabar Merchandise,2025-05-22,48201.0,2025-07-06,,Overdue,403
PAY00158,TRP00158,CUS011,Sai Manufacturing Co,2026-08-01,35053.0,2026-08-31,,Pending,
PAY00159,TRP00159,CUS014,Shree Traders,2025-11-21,21278.0,2026-01-05,2025-12-23,Paid,
PAY00160,TRP00160,CUS038,Ganges Distributors,2025-04-29,55966.0,2025-05-29,2025-05-29,Paid,
PAY00161,TRP00161,CUS025,Shree Retail Chain,2026-01-31,37239.0,2026-03-02,,Overdue,164
PAY00162,TRP00162,CUS040,National Impex,2026-05-21,30599.0,2026-06-05,2026-06-04,Paid,
PAY00163,TRP00163,CUS038,Ganges Distributors,2026-07-27,9596.0,2026-08-26,,Pending,
PAY00164,TRP00164,CUS025,Shree Retail Chain,,0.0,,,Not Applicable,
PAY00165,TRP00165,CUS036,United Industries,2025-05-17,25618.0,2025-07-16,2025-05-26,Paid,
PAY00166,TRP00166,CUS050,Jai Pharma Ltd,,0.0,,,Not Applicable,
PAY00167,TRP00167,CUS032,Royal Manufacturing Co,2026-06-24,103697.0,2026-08-08,,Pending,
PAY00168,TRP00168,CUS040,National Impex,2026-03-22,8785.0,2026-04-06,2026-04-13,Paid,
PAY00169,TRP00169,CUS042,National Motors,2026-06-21,27402.0,2026-07-21,,Overdue,23
PAY00170,TRP00170,CUS016,Sahyadri Enterprises,2025-06-06,10596.0,2025-07-21,2025-07-19,Paid,
PAY00171,TRP00171,CUS047,Vishal Motors,2026-07-27,70277.0,2026-08-11,,Pending,
PAY00172,TRP00172,CUS041,Sahyadri Retail Chain,2026-03-06,14876.0,2026-04-05,2026-04-01,Paid,
PAY00173,TRP00173,CUS045,Deccan Motors,2025-05-05,20400.0,2025-06-04,,Overdue,435
PAY00174,TRP00174,CUS037,Konkan Corporation,2026-07-26,29634.0,2026-08-25,,Pending,
PAY00175,TRP00175,CUS038,Ganges Distributors,2026-07-04,21554.0,2026-08-03,2026-07-11,Paid,
PAY00176,TRP00176,CUS047,Vishal Motors,2026-08-01,80568.0,2026-08-16,,Pending,
PAY00177,TRP00177,CUS005,Om Industries,2026-01-25,35350.0,2026-02-24,2026-02-20,Paid,
PAY00178,TRP00178,CUS036,United Industries,2026-03-30,57014.0,2026-05-29,2026-05-24,Paid,
PAY00179,TRP00179,CUS040,National Impex,2025-09-17,9140.0,2025-10-02,2025-10-10,Paid,
PAY00180,TRP00180,CUS024,Western Logistics Pvt Ltd,2026-07-02,14397.0,2026-08-16,,Pending,
PAY00181,TRP00181,CUS008,Sahyadri Merchandise,2025-12-11,25855.0,2026-01-25,2026-01-23,Paid,
PAY00182,TRP00182,CUS008,Sahyadri Merchandise,2025-07-02,11773.0,2025-08-16,,Overdue,362
PAY00183,TRP00183,CUS011,Sai Manufacturing Co,2026-08-01,18663.0,2026-08-31,,Pending,
PAY00184,TRP00184,CUS025,Shree Retail Chain,2026-04-14,37494.0,2026-05-14,,Overdue,91
PAY00185,TRP00185,CUS049,Krishna Pharma Ltd,2025-07-31,29023.0,2025-09-14,2025-09-01,Paid,
PAY00186,TRP00186,CUS050,Jai Pharma Ltd,2026-07-27,18103.0,2026-08-26,,Pending,
PAY00187,TRP00187,CUS048,Prime Agro Foods,2026-01-30,44207.0,2026-02-14,,Overdue,180
PAY00188,TRP00188,CUS048,Prime Agro Foods,2026-04-22,31083.0,2026-05-07,2026-05-16,Paid,
PAY00189,TRP00189,CUS023,Prime Pharma Ltd,2025-12-04,14713.0,2026-01-03,,Overdue,222
PAY00190,TRP00190,CUS049,Krishna Pharma Ltd,2026-07-29,25740.0,2026-09-12,,Pending,
PAY00191,TRP00191,CUS016,Sahyadri Enterprises,2026-04-07,15834.0,2026-05-22,,Overdue,83
PAY00192,TRP00192,CUS033,Malabar Traders,2026-06-25,40122.0,2026-07-25,2026-07-16,Paid,
PAY00193,TRP00193,CUS030,Metro Pharma Ltd,2026-04-24,26440.0,2026-05-24,2026-06-03,Paid,
PAY00194,TRP00194,CUS037,Konkan Corporation,2025-03-30,25013.0,2025-04-29,,Overdue,471
PAY00195,TRP00195,CUS030,Metro Pharma Ltd,,0.0,,,Not Applicable,
PAY00196,TRP00196,CUS024,Western Logistics Pvt Ltd,2025-04-09,45145.0,2025-05-24,,Overdue,446
PAY00197,TRP00197,CUS006,Vishal Traders,2025-09-28,22542.0,2025-10-28,2025-10-30,Paid,
PAY00198,TRP00198,CUS028,Sahyadri Textiles,2025-05-27,48248.0,2025-06-11,2025-06-14,Paid,
PAY00199,TRP00199,CUS044,Malabar Merchandise,2025-07-30,109296.0,2025-09-13,,Overdue,334
PAY00200,TRP00200,CUS044,Malabar Merchandise,2025-06-15,63423.0,2025-07-30,,Overdue,379
PAY00201,TRP00201,CUS018,Shree Manufacturing Co,2025-12-03,64537.0,2026-01-02,,Overdue,223
PAY00202,TRP00202,CUS034,Vindhya Manufacturing Co,2025-10-12,26932.0,2025-10-27,2025-10-23,Paid,
PAY00203,TRP00203,CUS001,Malabar Retail Chain,2026-08-01,27513.0,2026-08-31,,Pending,
PAY00204,TRP00204,CUS005,Om Industries,2025-04-13,6052.0,2025-05-13,2025-04-16,Paid,
PAY00205,TRP00205,CUS027,National Exports,2025-07-16,30681.0,2025-08-15,2025-08-05,Paid,
PAY00206,TRP00206,CUS021,National Merchandise,2025-04-21,35731.0,2025-05-21,2025-04-30,Paid,
PAY00207,TRP00207,CUS006,Vishal Traders,2025-08-08,31728.0,2025-09-07,,Overdue,340
PAY00208,TRP00208,CUS034,Vindhya Manufacturing Co,2026-08-01,32760.0,2026-08-16,,Pending,
PAY00209,TRP00209,CUS028,Sahyadri Textiles,,0.0,,,Not Applicable,
PAY00210,TRP00210,CUS011,Sai Manufacturing Co,2025-06-12,25655.0,2025-07-12,2025-07-14,Paid,
PAY00211,TRP00211,CUS003,Vishal Retail Chain,2025-03-20,24453.0,2025-05-19,2025-04-10,Paid,
PAY00212,TRP00212,CUS005,Om Industries,2026-07-26,15673.0,2026-08-25,,Pending,
PAY00213,TRP00213,CUS030,Metro Pharma Ltd,2026-05-23,12360.0,2026-06-22,2026-06-30,Paid,
PAY00214,TRP00214,CUS030,Metro Pharma Ltd,2025-09-04,39381.0,2025-10-04,2025-09-27,Paid,
PAY00215,TRP00215,CUS027,National Exports,2026-07-26,5602.0,2026-08-25,,Pending,
PAY00216,TRP00216,CUS014,Shree Traders,,0.0,,,Not Applicable,
PAY00217,TRP00217,CUS045,Deccan Motors,2026-07-13,23296.0,2026-08-12,2026-08-01,Paid,
PAY00218,TRP00218,CUS009,Western Retail Chain,,0.0,,,Not Applicable,
PAY00219,TRP00219,CUS009,Western Retail Chain,2025-12-26,27225.0,2026-01-10,2026-01-07,Paid,
PAY00220,TRP00220,CUS017,Krishna Logistics Pvt Ltd,2025-03-25,78903.0,2025-04-24,,Overdue,476
PAY00221,TRP00221,CUS033,Malabar Traders,,0.0,,,Not Applicable,
PAY00222,TRP00222,CUS007,Sunrise Retail Chain,2026-07-28,48869.0,2026-08-12,,Pending,
PAY00223,TRP00223,CUS038,Ganges Distributors,,0.0,,,Not Applicable,
PAY00224,TRP00224,CUS003,Vishal Retail Chain,2026-03-23,44397.0,2026-05-22,2026-05-17,Paid,
PAY00225,TRP00225,CUS012,Deccan Merchandise,2025-10-20,29337.0,2025-12-19,,Overdue,237
PAY00226,TRP00226,CUS018,Shree Manufacturing Co,2026-08-01,13702.0,2026-08-31,,Pending,
PAY00227,TRP00227,CUS046,Ganges Textiles,2026-07-09,15065.0,2026-08-08,2026-07-17,Paid,
PAY00228,TRP00228,CUS050,Jai Pharma Ltd,2025-10-04,33746.0,2025-11-03,2025-10-24,Paid,
PAY00229,TRP00229,CUS048,Prime Agro Foods,2026-03-12,30330.0,2026-03-27,,Overdue,139
PAY00230,TRP00230,CUS038,Ganges Distributors,2025-07-02,8828.0,2025-08-01,,Overdue,377
PAY00231,TRP00231,CUS020,Golden Manufacturing Co,2025-09-20,7333.0,2025-11-19,2025-09-23,Paid,
PAY00232,TRP00232,CUS009,Western Retail Chain,2026-08-01,24277.0,2026-08-16,,Pending,
PAY00233,TRP00233,CUS008,Sahyadri Merchandise,2026-03-21,47395.0,2026-05-05,2026-04-18,Paid,
PAY00234,TRP00234,CUS028,Sahyadri Textiles,,0.0,,,Not Applicable,
PAY00235,TRP00235,CUS012,Deccan Merchandise,2025-03-16,14409.0,2025-05-15,2025-05-16,Paid,
PAY00236,TRP00236,CUS037,Konkan Corporation,2025-10-12,19386.0,2025-11-11,,Overdue,275
PAY00237,TRP00237,CUS046,Ganges Textiles,2025-04-20,28097.0,2025-05-20,2025-05-11,Paid,
PAY00238,TRP00238,CUS027,National Exports,2026-03-02,95790.0,2026-04-01,,Overdue,134
PAY00239,TRP00239,CUS029,Vindhya Pharma Ltd,2025-11-01,34648.0,2025-12-01,,Overdue,255
PAY00240,TRP00240,CUS005,Om Industries,2026-06-18,19793.0,2026-07-18,2026-07-21,Paid,
PAY00241,TRP00241,CUS004,Om Enterprises,2025-11-08,22192.0,2025-12-23,2025-11-28,Paid,
PAY00242,TRP00242,CUS032,Royal Manufacturing Co,2026-06-18,92316.0,2026-08-02,,Pending,
PAY00243,TRP00243,CUS008,Sahyadri Merchandise,2026-07-29,22653.0,2026-09-12,,Pending,
PAY00244,TRP00244,CUS012,Deccan Merchandise,2025-11-14,60188.0,2026-01-13,,Overdue,212
PAY00245,TRP00245,CUS023,Prime Pharma Ltd,2025-04-11,18732.0,2025-05-11,,Overdue,459
PAY00246,TRP00246,CUS016,Sahyadri Enterprises,2026-07-26,29083.0,2026-09-09,,Pending,
PAY00247,TRP00247,CUS008,Sahyadri Merchandise,,0.0,,,Not Applicable,
PAY00248,TRP00248,CUS039,Krishna Traders,2026-07-28,54593.0,2026-09-11,,Pending,
PAY00249,TRP00249,CUS030,Metro Pharma Ltd,2026-04-14,10213.0,2026-05-14,2026-05-21,Paid,
PAY00250,TRP00250,CUS007,Sunrise Retail Chain,2026-08-01,31778.0,2026-08-16,,Pending,
PAY00251,TRP00251,CUS031,Sai Pharma Ltd,2026-03-27,19321.0,2026-04-26,,Overdue,109
PAY00252,TRP00252,CUS018,Shree Manufacturing Co,2025-11-21,19993.0,2025-12-21,,Overdue,235
PAY00253,TRP00253,CUS029,Vindhya Pharma Ltd,2025-08-23,23458.0,2025-09-22,2025-09-10,Paid,
PAY00254,TRP00254,CUS004,Om Enterprises,2026-04-02,16177.0,2026-05-17,2026-05-06,Paid,
PAY00255,TRP00255,CUS013,Krishna Corporation,,0.0,,,Not Applicable,
